PathwayID,PathwayName,Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,URL,Genes
hsa05415,Diabetic cardiomyopathy,7.16E-22,81,203,3.122386164,http://www.genome.jp/kegg-bin/show_pathway?hsa05415 , PPIF  COL1A1  COL1A2  COL3A1  COX4I1  COX8A  PARP1  MAPK14  CTSD  CYBA  CYBB  ACE  AGT  AGTR1  AKT1  AKT2  PLCB1  G6PD  GAPDH  GFPT1  SLC25A4  GSK3B  GSR  GYS1  INS  INSR  IRS1  SMAD2  SMAD3  MMP2  MMP9  MT-ATP6  MT-CO1  MT-CO2  MT-CYB  NCF2  NDUFA5  NDUFAB1  NFKB1  NOS3  ATP2A1  ATP2A2  ATP2A3  PDHA1  PDHB  PDK2  PDK4  PIK3CA  PIK3R1  PIK3R2  PLN  PPARA  PPP1CA  PRKCA  PRKCG  PRKCZ  MAPK8  MAPK11  MAPK9  MAPK10  RAC2  RELA  REN  RYR2  SDHA  SDHB  SDHC  SLC2A1  NCF1  SP1  TGFB1  TGFB2  TGFB3  TGFBR1  TGFBR2  TNNI3  UQCRC2  CAMK2A  CAMK2G  PIK3R3  CD36
hsa05217,Basal cell carcinoma,1.36E-07,25,63,3.105253729,http://www.genome.jp/kegg-bin/show_pathway?hsa05217 , GADD45G  CTNNB1  DDB2  GADD45A  DVL1  GLI1  GLI2  GSK3B  APC  GADD45B  LEF1  BAK1  BAX  HHIP  SHH  BMP2  BMP4  TCF7  TCF7L2  TP53  WNT1  WNT5A  WNT10B  WNT11  WNT10A
hsa05130,Pathogenic Escherichia coli infection,7.13E-21,78,197,3.098318137,http://www.genome.jp/kegg-bin/show_pathway?hsa05130 , ACTR2  TUBA1B  NLRP3  TIRAP  CHUK  CLDN4  CLDN3  MAPK14  LPAR1  F2  F2R  FCGR2A  FOS  ABL1  GAPDH  PYCARD  FAS  IKBKB  IL1B  IL1R1  FASLG  IL6  CXCL8  IL18  IRAK1  ITGB1  JUN  ARF1  RHOA  MYD88  MYH9  NCK1  NCL  NFKB1  NFKBIA  PAK1  PAK3  IRAK4  CYCS  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  PTPN6  BAK1  PTPN11  BAX  RELA  ACTB  ROCK1  SRC  MAP3K7  TLR4  TLR5  CLDN5  TNFRSF1A  TRAF2  TRAF6  MYH14  CASP1  CASP3  CASP4  CASP7  CASP8  CASP9  IKBKG  RIPK1  TNFSF10  FADD  TNFRSF10B  TNFRSF10A  CLDN2  CLDN1  ARHGEF1  ARHGEF2  ROCK2
hsa04270,Vascular smooth muscle contraction,1.43E-14,53,134,3.095057374,http://www.genome.jp/kegg-bin/show_pathway?hsa04270 , CALCRL  RAMP1  ADCY1  ADCY2  ADCY7  ADM  ADORA2A  ADORA2B  MYL6B  ADRA1D  ADRA1A  AGT  AGTR1  EDN1  EDN2  EDN3  EDNRA  PLCB1  GNAQ  GNAS  ARAF  ITPR1  RHOA  MYH9  MYLK  PPP1R12A  NPPA  NPPB  NPPC  NPR1  PLA2G1B  PLA2G2A  PLA2G4A  PPP1CA  AVP  PRKCA  PRKCG  PRKG1  MAPK1  MAPK3  MAP2K1  RAF1  ACTA2  ROCK1  BRAF  CALCA  CALCB  MYH14  CALML3  PLA2G6  ARHGEF1  MYLK3  ROCK2
hsa04940,Type I diabetes mellitus,1.57E-05,17,43,3.093699297,http://www.genome.jp/kegg-bin/show_pathway?hsa04940 , GAD1  GAD2  GZMB  HSPD1  IFNG  FAS  IL1A  IL1B  IL2  FASLG  IL12A  IL12B  INS  PRF1  PTPRN  CD28  CD80
hsa05330,Allograft rejection,5.26E-05,15,38,3.088910289,http://www.genome.jp/kegg-bin/show_pathway?hsa05330 , GZMB  IFNG  FAS  IL2  FASLG  IL4  IL5  IL10  IL12A  IL12B  PRF1  CD28  CD80  CD86  CD40
hsa04713,Circadian entrainment,1.13E-10,38,97,3.065557702,http://www.genome.jp/kegg-bin/show_pathway?hsa04713 , ADCY1  ADCY2  ADCY7  ADCYAP1  ADCYAP1R1  CREB1  PLCB1  FOS  GNAI3  GNAO1  GNAQ  GNAS  GRIA1  GRIA2  GRIA3  GRIA4  GRIN1  GRIN2A  GRIN2B  GRIN2C  ITPR1  KCNJ3  KCNJ5  KCNJ6  NOS1  PER1  PRKCA  ADCY10  PRKCG  PRKG1  MAPK1  MAPK3  RYR1  RYR2  CALML3  CAMK2A  CAMK2G  PER2
hsa04022,cGMP-PKG signaling pathway,2.59E-17,65,166,3.064099764,http://www.genome.jp/kegg-bin/show_pathway?hsa04022 , PPIF  ADCY1  ADCY2  ADCY7  CREB1  ATF2  ADRA1D  ADRA1A  ADRA2A  ADRA2C  ADRB2  ADRB3  AGTR1  EDNRA  EDNRB  AKT1  AKT2  PLCB1  GNAI3  GNAQ  SLC25A4  INS  INSR  IRS1  ITPR1  KCNJ8  KNG1  RHOA  MYH6  MYH7  MYLK  PPP1R12A  ATF4  NFATC1  ATP1A3  ATP1B1  NOS3  ATP2A1  NPPA  NPPB  ATP2A2  NPPC  NPR1  ATP2A3  OPRD1  PDE3B  PIK3CG  PLN  PPP1CA  PPP3CA  PRKG1  MAPK1  MAPK3  MAP2K1  BAD  RAF1  RGS2  ROCK1  BDKRB2  TRPC6  CALML3  PDE5A  IRS2  MYLK3  ROCK2
hsa04371,Apelin signaling pathway,1.37E-14,54,138,3.062050199,http://www.genome.jp/kegg-bin/show_pathway?hsa04371 , ADCY1  ADCY2  PPARGC1A  ADCY7  JAG1  AGTR1  EGR1  AKT1  AKT2  PLCB1  GNAI3  GNAQ  PIK3R4  ITPR1  KRAS  LIPE  SMAD2  SMAD3  SMAD4  MYL2  MYLK  NOS1  NOS3  NOTCH3  NRAS  NRF1  SERPINE1  PDE3B  PIK3CG  PLAT  PRKAA1  PRKAA2  ADCY10  MAPK1  MAPK3  MAP2K1  RAF1  ACTA2  CCND1  RPS6KB1  RYR1  RYR2  SLC9A1  SPP1  TFAM  TGFBR1  UCP1  CALML3  CAMK4  MAP1LC3B  MAP1LC3A  BECN1  SPHK1  MYLK3
hsa00982,Drug metabolism-cytochrome P450,6.06E-08,27,69,3.062050199,http://www.genome.jp/kegg-bin/show_pathway?hsa00982 , ADH1A  ADH1B  ADH1C  ADH4  ADH5  ADH7  CYP1A2  CYP2A6  CYP2B6  CYP2C19  CYP2C8  CYP2C9  CYP2E1  CYP3A4  CYP3A5  ALDH3A1  FMO3  GSTA1  GSTM1  GSTM3  GSTP1  MAOA  MAOB  UGT1A9  UGT1A4  UGT1A1  UGT1A3
hsa04924,Renin secretion,6.06E-08,27,69,3.062050199,http://www.genome.jp/kegg-bin/show_pathway?hsa04924 , ADCYAP1  ADCYAP1R1  CREB1  ADRB2  ADRB3  ACE  AGT  AGTR1  EDN1  EDN2  EDN3  EDNRA  PLCB1  GNAI3  GNAQ  GNAS  AQP1  ITPR1  NPPA  NPR1  PDE3B  PPP3CA  PTGER2  PTGER4  REN  CALML3  ORAI1
hsa04514,Cell adhesion molecules,2.70E-16,61,156,3.059869252,http://www.genome.jp/kegg-bin/show_pathway?hsa04514 , CDH5  CDH15  ICOSLG  CD226  CNTN1  CLDN4  CLDN3  VCAN  CTLA4  NFASC  CADM1  NEGR1  CD274  ICOS  ICAM1  ICAM2  ICAM3  ITGA6  ITGA4  ITGAL  ITGAM  ITGB1  ITGB2  MAG  MPZ  NCAM1  NEO1  F11R  PECAM1  PTPRF  SDC1  SDC2  SDC4  SELE  SELL  SELP  SELPLG  SIGLEC1  SPN  CLDN5  VCAM1  VTCN1  PDCD1LG2  MADCAM1  CNTNAP1  CLDN2  CLDN1  ESAM  CD2  CD4  CD6  CD8A  CD8B  CD22  CD28  CD80  CD86  CD34  CD40  CD40LG  CD58
hsa00980,Metabolism of xenobiotics by cytochrome P450,2.66E-08,29,75,3.025759234,http://www.genome.jp/kegg-bin/show_pathway?hsa00980 , ADH1A  ADH1B  ADH1C  ADH4  ADH5  ADH7  CYP1A1  CYP1A2  CYP1B1  CYP2A6  CYP2A13  CYP2B6  CYP2C9  CYP2E1  CYP3A4  CYP3A5  EPHX1  ALDH3A1  GSTA1  GSTM1  GSTM3  GSTP1  HSD11B1  UGT1A9  UGT1A4  UGT1A1  UGT1A3  SULT2A1  CBR1
hsa05132,Salmonella infection,2.15E-24,96,249,3.016959768,http://www.genome.jp/kegg-bin/show_pathway?hsa05132 , ABI1  ACTR2  TUBA1B  NOD1  NLRP3  TIRAP  CHUK  MAPK14  CTNNB1  MLKL  AKT1  AKT2  FLNA  FLNB  FLNC  FOS  LY96  GAPDH  PYCARD  ANXA2  BIRC3  HSP90AA1  IKBKB  IL1B  IL6  CXCL8  IL18  IRAK1  JUN  ARF1  KIF5B  RHOA  RHOB  M6PR  MYC  MYD88  MYL2  NFKB1  NFKBIA  PAK1  PAK3  IRAK4  LEF1  PFN1  PIK3CA  PIK3CG  TLR9  CYCS  PKN1  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K1  MAP2K3  MAP2K6  BAK1  BAX  NLRC4  RAF1  RALA  BCL2  RELA  ACTB  S100A10  MAP2K4  MAP3K7  TCF7  TCF7L2  TLR2  TLR4  TLR5  TNFRSF1A  HSP90B1  TRAF2  TRAF6  TXN  RAB7A  CASP1  CASP3  CASP4  CASP5  CASP7  CASP8  DCTN5  IKBKG  RIPK1  TNFSF10  RIPK2  FADD  TNFRSF10B  TNFRSF10A  CD14  ROCK2
hsa05150,Staphylococcus aureus infection,7.28E-10,36,94,2.996900195,http://www.genome.jp/kegg-bin/show_pathway?hsa05150 , MASP2  DEFA5  DSG1  FCGR1A  FCGR2A  FCGR2B  FCGR3A  FCGR3B  FGG  FPR1  FPR2  CFH  ICAM1  CFI  IL10  ITGAL  ITGAM  ITGB2  KRT10  KRT13  KRT14  KRT15  KRT16  KRT17  KRT18  KRT19  MBL2  PLG  MASP1  PTAFR  SELP  SELPLG  C1S  C5AR1  CAMP  KRT38
hsa04623,Cytosolic DNA-sensing pathway,5.72E-07,24,63,2.98104358,http://www.genome.jp/kegg-bin/show_pathway?hsa04623 , TREX1  CHUK  DDX58  PYCARD  TBK1  IFNA1  IFNA5  IFNA17  IFNB1  IKBKB  IL1B  IL6  IL18  CXCL10  IRF3  NFKB1  NFKBIA  RELA  ZBP1  CASP1  IKBKG  RIPK1  IL33  AIM2
hsa04728,Dopaminergic synapse,5.53E-13,50,132,2.964105833,http://www.genome.jp/kegg-bin/show_pathway?hsa04728 , COMT  CREB1  ATF2  MAPK14  DDC  DRD1  DRD2  DRD3  AKT1  AKT2  PLCB1  FOS  GNAI3  GNAO1  GNAQ  GNAS  GRIA1  GRIA2  GRIA3  GRIA4  GRIN2A  GRIN2B  GSK3A  GSK3B  ITPR1  KCNJ3  KCNJ5  KCNJ6  KIF5B  ARNTL  MAOA  MAOB  ATF4  PPP1CA  PPP2CA  PPP3CA  PRKCA  PRKCG  MAPK8  MAPK11  MAPK9  MAPK10  SLC18A2  TH  CACNA1A  CALML3  CAMK2A  CAMK2G  PPP1R1B  CLOCK
hsa00250,Alanine aspartate and glutamate metabolism,0.00016254,14,37,2.960901394,http://www.genome.jp/kegg-bin/show_pathway?hsa00250 , CPS1  ADSL  ABAT  AGXT  GAD1  GAD2  GFPT1  GLS2  GLS  GLUD1  GLUL  GPT  ASPA  ASS1
hsa04925,Aldosterone synthesis and secretion,6.76E-10,37,98,2.95442712,http://www.genome.jp/kegg-bin/show_pathway?hsa04925 , ADCY1  ADCY2  ADCY7  CREB1  ATF2  CYP11B2  AGT  AGTR1  PLCB1  GNAQ  GNAS  NR4A1  HSD3B1  ITPR1  KCNJ5  KCNK3  LDLR  LIPE  MC2R  ATF1  ATF4  ATP1A3  ATP1B1  NPPA  NPR1  NR4A2  POMC  PRKCA  PRKCG  PRKD1  STAR  CALML3  CAMK4  CAMK2A  CAMK2G  ORAI1  SCARB1
hsa04922,Glucagon signaling pathway,1.36E-10,40,106,2.952920528,http://www.genome.jp/kegg-bin/show_pathway?hsa04922 , ADCY2  PPARGC1A  CPT1A  CREB1  ATF2  CREBBP  CRTC2  EP300  AKT1  AKT2  FBP1  FOXO1  PLCB1  SIRT1  GCG  GCK  GNAQ  GNAS  GYS1  PRMT1  ITPR1  LDHC  ATF4  PDE3B  PDHA1  PDHB  PFKM  PGAM2  PHKA1  PKM  PPARA  PPP3CA  PRKAA1  PRKAA2  PYGM  SLC2A1  SLC2A2  CALML3  CAMK2A  CAMK2G
hsa05414,Dilated cardiomyopathy,1.41E-09,36,96,2.934464774,http://www.genome.jp/kegg-bin/show_pathway?hsa05414 , ADCY1  ADCY2  ADCY7  DAG1  DES  DMD  AGT  GNAS  LAMA1  IGF1  ITGA6  ITGA1  ITGA2  ITGA2B  ITGA4  ITGA5  ITGB1  ITGB3  LMNA  MYH6  MYH7  MYL2  ATP2A1  ATP2A2  ATP2A3  PLN  ACTB  RYR2  SGCB  ACTC1  TGFB1  TGFB2  TGFB3  TNNI3  TNNT2  TTN
hsa04976,Bile secretion,9.64E-09,33,89,2.90149326,http://www.genome.jp/kegg-bin/show_pathway?hsa04976 , ADCY1  ADCY2  CFTR  ADCY7  ABCC2  CYP3A4  CYP7A1  EPHX1  GNAS  HMGCR  AQP1  AQP4  LDLR  ATP1A3  ATP1B1  ABCB1  ABCB4  UGT1A9  UGT1A4  UGT1A1  UGT1A3  RXRA  SLC2A1  SLC5A1  SLC9A1  SLCO1A2  SULT2A1  CA2  NR0B2  ABCC3  SLC22A8  ABCG2  SCARB1
hsa04921,Oxytocin signaling pathway,4.12E-14,57,154,2.896354842,http://www.genome.jp/kegg-bin/show_pathway?hsa04921 , CDKN1A  CAMKK2  ADCY1  ADCY2  ADCY7  MYL6B  EGFR  ELK1  PLCB1  FOS  GNAI3  GNAO1  GNAQ  GNAS  ITPR1  JUN  KCNJ3  KCNJ4  KCNJ5  KCNJ6  KRAS  RHOA  MYLK  PPP1R12A  NFATC1  NOS3  NPPA  NPR1  NRAS  PIK3CG  PLA2G4A  PPP1CA  PPP3CA  PRKAA1  PRKAA2  PRKCA  PRKCG  MAPK1  MAPK3  MAPK7  MAP2K1  PTGS2  RAF1  CCND1  RGS2  ACTB  ROCK1  RYR1  RYR2  SRC  TRPM2  CALML3  CAMK4  CAMK2A  CAMK2G  MYLK3  ROCK2
hsa00480,Glutathione metabolism,5.63E-06,21,57,2.882982936,http://www.genome.jp/kegg-bin/show_pathway?hsa00480 , G6PD  GGT1  GCLC  GCLM  GPX1  GPX2  GPX3  GPX4  ANPEP  GSR  GSTA1  GSTM1  GSTM3  GSTP1  IDH1  IDH2  CHAC2  ODC1  LAP3  PGD  RRM1
hsa05204,Chemical carcinogenesis-DNA adducts,7.22E-07,25,68,2.876926249,http://www.genome.jp/kegg-bin/show_pathway?hsa05204 , CYP1A1  CYP1A2  CYP1B1  CYP2A6  CYP2A13  CYP2C19  CYP2C8  CYP2C9  CYP2E1  CYP3A4  CYP3A5  EPHX1  GSTA1  GSTM1  GSTM3  GSTP1  HSD11B1  UGT1A9  UGT1A4  UGT1A1  UGT1A3  PTGS2  SULT1A1  SULT2A1  CBR1
hsa01230,Biosynthesis of amino acids,3.08E-07,27,74,2.855154916,http://www.genome.jp/kegg-bin/show_pathway?hsa01230 , CBS  CPS1  CS  CTH  ENO1  ENO2  ALDOB  GAPDH  PHGDH  GLUL  GPT  IDH1  IDH2  IDH3B  ARG1  ASS1  ACO1  OTC  PAH  PC  PFKM  PGAM2  PGK1  PKM  PSPH  TKT  TPI1
hsa05100,Bacterial invasion of epithelial cells,2.02E-07,28,77,2.845541599,http://www.genome.jp/kegg-bin/show_pathway?hsa05100 , ACTR2  MAD2L2  CRK  CRKL  CTNNA1  CTNNB1  FN1  CD2AP  GAB1  SHC2  DNM3  ILK  ITGA5  ITGB1  RHOA  MET  PIK3CA  PIK3R1  PIK3R2  PTK2  PXN  ACTB  SHC1  SRC  VCL  PIK3R3  CAV1  CBL
hsa05412,Arrhythmogenic right ventricular cardiomyopathy,2.02E-07,28,77,2.845541599,http://www.genome.jp/kegg-bin/show_pathway?hsa05412 , CTNNA1  CTNNB1  DAG1  DES  DMD  DSG2  DSP  GJA1  LAMA1  ITGA6  ITGA1  ITGA2  ITGA2B  ITGA4  ITGA5  ITGB1  ITGB3  JUP  LMNA  ATP2A1  ATP2A2  ATP2A3  LEF1  ACTB  RYR2  SGCB  TCF7  TCF7L2
hsa00340,Histidine metabolism,0.005961676,8,22,2.845541599,http://www.genome.jp/kegg-bin/show_pathway?hsa00340 , ALDH2  ALDH3A1  HAL  HDC  MAOA  MAOB  ASPA  ALDH7A1
hsa04914,Progesterone-mediated oocyte maturation,2.40E-09,37,102,2.838567233,http://www.genome.jp/kegg-bin/show_pathway?hsa04914 , CDK2  MAD2L2  ADCY1  ADCY2  ADCY7  MAPK14  AKT1  AKT2  GNAI3  HSP90AA1  IGF1  IGF1R  INS  ARAF  KRAS  PDE3B  PGR  PIK3CA  PIK3R1  PIK3R2  PLK1  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K1  RAF1  BRAF  AURKA  BUB1  PIK3R3  CCNA2  CCNB1  CCNB2  CDK1
hsa05320,Autoimmune thyroid disease,2.52E-05,19,53,2.805274501,http://www.genome.jp/kegg-bin/show_pathway?hsa05320 , CTLA4  GZMB  IFNA1  IFNA5  IFNA17  FAS  IL2  FASLG  IL4  IL5  IL10  PRF1  TG  TSHB  TSHR  CD28  CD80  CD86  CD40
hsa00380,Tryptophan metabolism,0.000197702,15,42,2.794728356,http://www.genome.jp/kegg-bin/show_pathway?hsa00380 , TPH2  AANAT  CYP1A1  CYP1A2  CYP1B1  DDC  DLD  ALDH2  HADH  MAOA  MAOB  ALDH7A1  TPH1  CAT  KMO
hsa04971,Gastric acid secretion,5.71E-07,27,76,2.78001926,http://www.genome.jp/kegg-bin/show_pathway?hsa04971 , ADCY2  CFTR  ADCY7  PLCB1  GAST  GNAI3  GNAQ  GNAS  ITPR1  KCNJ10  KCNJ16  MYLK  ATP1A3  ATP1B1  ATP4A  PRKCA  PRKCG  ACTB  SLC9A1  SST  SSTR2  CA2  CALML3  CAMK2A  CAMK2G  CCKBR  MYLK3
hsa04613,Neutrophil extracellular trap formation,2.82E-15,67,189,2.774026665,http://www.genome.jp/kegg-bin/show_pathway?hsa04613 , HDAC6  PPIF  ATG7  CR1  MAPK14  CTSG  CYBA  CYBB  AKT1  AKT2  FCGR1A  FCGR2A  FCGR3A  FCGR3B  FGA  FGB  FGG  PLCB1  FPR1  FPR2  GP1BA  SLC25A4  HDAC1  HDAC2  HMGB1  ITGA2B  ITGAL  ITGAM  ITGB2  ITGB3  MPO  NCF2  NFKB1  TLR7  TLR8  PIK3CA  PIK3R1  PIK3R2  PLCG1  PLCG2  PRKCA  PRKCG  MAPK1  MAPK3  MAPK11  MAP2K1  RAC2  RAF1  RELA  ACTB  SELP  SELPLG  CLEC7A  NCF1  SRC  SYK  MAP3K7  TLR2  TLR4  C5AR1  VWF  CAMP  CASP1  CASP4  PIK3R3  HDAC3  HDAC9
hsa04725,Cholinergic synapse,1.25E-09,40,113,2.769996247,http://www.genome.jp/kegg-bin/show_pathway?hsa04725 , ADCY1  ADCY2  CHAT  CHRM2  ADCY7  CHRNA3  CHRNB4  CREB1  AKT1  AKT2  PLCB1  FOS  GNAI3  GNAO1  GNAQ  ITPR1  JAK2  KCNJ3  KCNJ4  KCNJ6  KCNQ3  KRAS  ACHE  ATF4  NRAS  PIK3CA  PIK3CG  PIK3R1  PIK3R2  PRKCA  PRKCG  MAPK1  MAPK3  MAP2K1  BCL2  CACNA1A  CAMK4  CAMK2A  CAMK2G  PIK3R3
hsa04360,Axon guidance,1.37E-14,64,181,2.766935478,http://www.genome.jp/kegg-bin/show_pathway?hsa04360 , CDK5  SEMA3A  SEMA4D  DCC  EFNA2  EPHA2  EPHB2  EPHB4  SEMA3D  FES  PLXNB2  ABL1  GNAI3  GSK3B  RHOD  ILK  ITGB1  KRAS  RHOA  LIMK1  LIMK2  MET  NCK1  NEO1  NRAS  PAK1  PAK3  PARD6A  PDPK1  PIK3CA  PIK3R1  PIK3R2  PLCG1  PLCG2  PPP3CA  ENAH  PRKCA  PRKCZ  MAPK1  MAPK3  PTK2  PTPN11  RAC2  RAF1  RASA1  ROCK1  CXCL12  SHH  BMP7  BMPR2  SRC  TRPC1  TRPC4  TRPC6  WNT5A  CXCR4  CAMK2A  CAMK2G  PIK3R3  NRP1  SEMA5A  SLIT2  NTN1  ROCK2
hsa05017,Spinocerebellar ataxia,1.31E-11,50,142,2.755365985,http://www.genome.jp/kegg-bin/show_pathway?hsa05017 , PPIF  AKT1  AKT2  ERN1  CIC  PLCB1  GNAQ  GRIA1  GRIA2  GRIA3  GRIN1  GRIN2A  GRIN2B  GRIN2C  SLC25A4  PIK3R4  ITPR1  KCND3  MAP3K5  ATXN3  MYOD1  ATP2A1  ATP2A2  ATP2A3  OPA1  PDYN  PIK3CA  PIK3R1  PIK3R2  CYCS  PRKCA  PRKCG  MAPK8  MAPK9  MAPK10  PSMB5  PSMD1  PSMD3  PSMD9  RYR1  ATXN1  SP1  TRAF2  VLDLR  XBP1  CACNA1A  ULK1  PIK3R3  BECN1  TBPL1
hsa05033,Nicotine addiction,0.000410272,14,40,2.738833789,http://www.genome.jp/kegg-bin/show_pathway?hsa05033 , SLC32A1  SLC17A8  GABRE  GRIA1  GRIA2  GRIA3  GRIA4  GRIN1  GRIN2A  GRIN2B  GRIN2C  SLC17A7  SLC17A6  CACNA1A
hsa04964,Proximal tubule bicarbonate reclamation,0.008032891,8,23,2.721822399,http://www.genome.jp/kegg-bin/show_pathway?hsa04964 , GLS2  GLS  GLUD1  AQP1  ATP1A3  ATP1B1  CA2  CA4
hsa00330,Arginine and proline metabolism,0.000147358,17,50,2.660581395,http://www.genome.jp/kegg-bin/show_pathway?hsa00330 , CKB  CKM  ALDH2  GAMT  AMD1  GATM  ARG1  MAOA  MAOB  NOS1  NOS3  OAT  ODC1  ALDH7A1  P4HA1  LAP3  SAT1
hsa00140,Steroid hormone biosynthesis,2.52E-05,21,62,2.650484312,http://www.genome.jp/kegg-bin/show_pathway?hsa00140 , COMT  CYP1A1  CYP1A2  CYP1B1  CYP2E1  CYP3A4  CYP3A5  CYP7A1  CYP11B1  CYP11B2  CYP17A1  CYP19A1  HSD3B1  HSD11B1  STS  UGT1A9  UGT1A4  UGT1A1  UGT1A3  SRD5A1  HSD17B6
hsa00260,Glycine serine and threonine metabolism,0.001112386,13,39,2.608413133,http://www.genome.jp/kegg-bin/show_pathway?hsa00260 , CTH  DLD  AGXT  GAMT  PHGDH  GATM  MAOA  MAOB  ALDH7A1  PGAM2  PSPH  BPGM  AOC3
hsa00591,Linoleic acid metabolism,0.004272402,10,30,2.608413133,http://www.genome.jp/kegg-bin/show_pathway?hsa00591 , CYP1A2  CYP2C19  CYP2C8  CYP2C9  CYP2E1  CYP3A4  PLA2G1B  PLA2G2A  PLA2G4A  PLA2G6
hsa01040,Biosynthesis of unsaturated fatty acids,0.006723252,9,27,2.608413133,http://www.genome.jp/kegg-bin/show_pathway?hsa01040 , ACOT7  FADS1  ACOX1  ELOVL5  SCD  SCP2  ACOT1  SCD5  FADS2
hsa04977,Vitamin digestion and absorption,0.010550709,8,24,2.608413133,http://www.genome.jp/kegg-bin/show_pathway?hsa04977 , APOA1  APOA4  APOB  PNLIP  RBP2  SLC19A1  CUBN  SCARB1
hsa00603,Glycosphingolipid biosynthesis-globo and isoglobo series,0.043124709,5,15,2.608413133,http://www.genome.jp/kegg-bin/show_pathway?hsa00603 , FUT1  FUT2  GLA  HEXA  ST3GAL2
hsa04974,Protein digestion and absorption,1.50E-07,34,103,2.583088733,http://www.genome.jp/kegg-bin/show_pathway?hsa04974 , COL1A1  COL1A2  COL2A1  COL3A1  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  COL4A6  COL5A2  COL6A1  COL7A1  COL8A1  COL9A3  COL17A1  CPA1  CPA3  CPB2  DPP4  ELN  KCNN4  MME  ATP1A3  ATP1B1  SLC38A2  COL20A1  ACE2  SLC1A1  SLC3A2  SLC15A1  COL14A1  COL18A1  COL21A1
hsa04150,mTOR signaling pathway,1.34E-10,51,155,2.574756189,http://www.genome.jp/kegg-bin/show_pathway?hsa04150 , RRAGA  CHUK  DVL1  EIF4E  EIF4EBP1  FLCN  AKT1  AKT2  LPIN1  GRB2  GSK3B  IGF1  IGF1R  IKBKB  INS  INSR  IRS1  KRAS  RHOA  LRP5  NRAS  PDPK1  PIK3CA  PIK3R1  PIK3R2  DDIT4  PRKAA1  PRKAA2  PRKCA  PRKCG  MAPK1  MAPK3  MAP2K1  RAF1  RPS6KB1  SGK1  SLC3A2  SOS1  BRAF  STK11  TNFRSF1A  TSC1  TSC2  WNT1  WNT5A  WNT10B  WNT11  MAPKAP1  WNT10A  ULK1  PIK3R3
hsa04261,Adrenergic signaling in cardiomyocytes,3.16E-10,49,149,2.573400876,http://www.genome.jp/kegg-bin/show_pathway?hsa04261 , RAPGEF3  ADCY1  ADCY2  RAPGEF4  ADCY7  CREB1  ATF2  CREM  MAPK14  ADRA1D  ADRA1A  ADRB2  AGT  AGTR1  AGTR2  AKT1  AKT2  PLCB1  GNAI3  GNAQ  GNAS  KCNE1  MYH6  MYH7  MYL2  ATF4  ATP1A3  ATP1B1  ATP2A1  ATP2A2  ATP2A3  PIK3CG  PLN  PPP1CA  PPP2CA  PRKCA  MAPK1  MAPK3  MAPK11  BCL2  RYR2  SCN5A  SLC9A1  ACTC1  TNNI3  TNNT2  CALML3  CAMK2A  CAMK2G
hsa05022,Pathways of neurodegeneration-multiple diseases,1.13E-29,156,476,2.564574257,http://www.genome.jp/kegg-bin/show_pathway?hsa05022 , PPIF  CDK5  TUBA1B  TOMM40  PARK7  LRRK2  COX4I1  COX8A  MAPK14  CSF1  CSNK1E  CTNNB1  CYBB  DLG4  DNAH5  DNAH9  DVL1  EIF2S1  ERN1  ATF6  DKK1  PLCB1  TARDBP  FUS  DNAI1  NOX1  GNAQ  GPX1  GPX2  GPX3  GRIA1  GRIA2  GRIA3  GRIA4  GRIN1  GRIN2A  GRIN2B  GRIN2C  SLC25A4  TBK1  GRM5  GSK3B  HTT  PIK3R4  HIP1  APAF1  APC  HSPA5  APP  FAS  IL1A  IL1B  FASLG  IL6  ARAF  ITPR1  KIF5B  KRAS  LRP5  MAP3K5  ATXN3  MT-ATP6  MT-CO1  MT-CO2  MT-CYB  ATF4  NDUFA5  NDUFAB1  NEFM  NEFL  NFKB1  NOS1  ATP2A1  ATP2A2  ATP2A3  NRAS  NOX4  PRKN  PDYN  PLCG1  CYCS  PPID  PPP3CA  MFN1  PRKCA  PRKCG  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K1  MAP2K3  MAP2K6  PRNP  PSEN1  PSEN2  PSMB5  PSMD1  PSMD3  PSMD9  BAD  PTGS2  ALS2  BAK1  BAX  RAF1  BCL2  RELA  BCL2L1  RPS27A  RYR1  RYR2  BDNF  ATXN1  SDHA  SDHB  SDHC  PINK1  SNCA  SOD1  BRAF  TNFRSF1A  TNFRSF1B  TRAF2  UBE2G2  UCHL1  UQCRC2  WNT1  WNT5A  WNT10B  WNT11  XBP1  DNALI1  DERL1  WNT10A  CALML3  CAMK2A  MAP1LC3B  CAMK2G  CAPN1  CASP3  CASP7  ULK1  CASP8  CASP9  DCTN5  MAP1LC3A  CAT  BECN1  FADD  CDK5R1  EIF2AK3  FIG4  MFN2
